chain,mixer_name,contract_name,contract_address
Ethereum,Railgun,Relay,0xFA7093CDD9EE6932B4eb2c9e1cde7CE00B1FA4b9
Ethereum,Railgun,Deployer,0x76EB574EFF49FB64DE6f7F2854952B05B5E24624
Ethereum,Railgun,Staking,0xEE6A649Aa3766bD117e12C161726b693A1B2Ee20
Ethereum,Railgun,WETH Helper,0x4025ee6512DBbda97049Bcf5AA5D38C54aF6bE8a
Ethereum,Railgun,RAIL Token,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D
Ethereum,Railgun,ERC-20: RAILGUN,0xecA77584B50E754B80E0A66aFaafAB49D5F784b0
BNB,Railgun,Relay,0x590162bf4B50f6576A459B75309Ee21d92178A10
Polygun,Railgun,Relay,0x19B620929F97b7B990801496c3B361cA5Def8c71
Arbitrum,Railgun,Relay,0xFA7093cDD9eE6932b4Eb2c9E1CDe7Ce00B1fA4b9
Ethereum,Aztec Connect,Connect,0xFF1F2B4ADb9dF6FC8eAFecDcbF96A2B351680455
Ethereum,Cyclone Protocol,CYC token,0x8861cFF2366C1128fD699B68304aD99a0764Ef9a
BNB,Cyclone Protocol,CYC token,0x810ee35443639348adbbc467b33310d2ab43c168
BNB,Cyclone Protocol,AeolusV2,0x567da514637cfd7f9e1f185ae4aa163b3ebb5363
BNB,Cyclone Protocol,bnb pool,0x66b5e322dc31f8c7a33ffd23975163795f8d16c7
BNB,Cyclone Protocol,cyc pool,0xd90a6bf8439ef7214cf00da83e926068b6a507ec
BNB,Cyclone Protocol,busd pool,0xbe19d541389c9d3e03efc08f3d5008e8c9cc42a5
BNB,Cyclone Protocol,iotx pool,0x79459751f6882868d1299bfa412428488b434541
BNB,Cyclone Protocol,CycloneV2dot1,0xD90a6BF8439EF7214cF00Da83E926068b6a507
Ethereum,0xTIP / 0xMonero,0xMonero (0xMR) Token,0x035dF12E0F3ac6671126525F1015E47D79dFeDdF
Ethereum,Messier 87 Black Hole,M87 Token,0x80122c6A83C8202EA365233363D3F4837D13E888
Ethereum,Messier 87 Black Hole,Deployer,0xbbb7cFB2b226ba8BA25a97a3cB36f1cBf6f2C905
Ethereum,Messier 87 Black Hole,Deployer 1,0x962C0b6C1B777Dab10625DCE7265fddCB902EBB3
Ethereum,Messier 87 Black Hole,Old M87 Token,0x8AF5FedC0f263841C18F31D9DbCC97A47e1aB462
Ethereum,zkSync,Withdrawal finalizer,0xf8A16864D8De145A266a534174305f881ee2315e
Ethereum,zkSync,ZK Token,0x66A5cFB2e9c529f14FE6364Ad1075dF3a649C0A5
Ethereum,zkSync,zkSync,0xaBEA9132b05A70803a4E85094fD0e1800777fBEF
Ethereum,zkSync,Deployer,0x40178E277CeAA8b9758BDd4bd78E47Ad03e85484
Ethereum,zkSync,NFT Factory,0x7C770595a2Be9A87CF49B35eA9bC534f1a59552D
Ethereum,zkSync,L2Operator,0x18c208921F7a741510a7fc0CfA51E941735DAE54
Ethereum,zkSync,Diamond proxy,0x32400084C286CF3E17e7B677ea9583e60a000324
