day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/6/9,Aztec Connect,80,3.75062,0,3.75062,3.75062,2,0,197.2814307,-197.2814307,197.2814307
2022/6/10,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/11,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/12,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/13,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/14,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/15,Aztec Connect,8,0,0,0,0,1,0,0,0,0
2022/6/16,Aztec Connect,7,0.03243,0,0.03243,0.03243,0,0,0,0,0
2022/6/17,Aztec Connect,5,0.010693,0,0.010693,0.010693,1,0,0,0,0
2022/6/18,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/19,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/20,Aztec Connect,12,0.078889,0,0.078889,0.078889,2,0,0.26020946,-0.26020946,0.26020946
2022/6/21,Aztec Connect,63,4.912997,0,4.912997,4.912997,5,0,2.152107799,-2.152107799,2.152107799
2022/6/22,Aztec Connect,18,0.023055,0,0.023055,0.023055,0,0,0,0,0
2022/6/23,Aztec Connect,3,0.00026,0,0.00026,0.00026,3,0,112.2079856,-112.2079856,112.2079856
2022/6/24,Aztec Connect,2,0,0,0,0,1,1.23E-14,0,1.23E-14,1.23E-14
2022/6/25,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/26,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/6/27,Aztec Connect,15,0.295447,0,0.295447,0.295447,0,0,0,0,0
2022/6/28,Aztec Connect,208,2.852554,0,2.852554,2.852554,6,1452.561649,395.588665,1056.972984,1848.150314
2022/6/29,Aztec Connect,64,0.64535,0,0.64535,0.64535,6,83.7602653,1335.584271,-1251.824005,1419.344536
2022/6/30,Aztec Connect,2,0,0,0,0,2,0,4.907029118,-4.907029118,4.907029118
2022/7/1,Aztec Connect,12,0.010675,0,0.010675,0.010675,7,51.76716106,69.9404736,-18.17331254,121.7076347
2022/7/2,Aztec Connect,4,0,0,0,0,2,21.05566898,2.070178015,18.98549096,23.12584699
2022/7/3,Aztec Connect,0,0,0,0,0,0,0,0,0,0
2022/7/4,Aztec Connect,2,0,0,0,0,0,0,0,0,0
2022/7/5,Aztec Connect,8,1.00076,0,1.00076,1.00076,3,134.3833801,0.830877244,133.5525029,135.2142574
2022/7/6,Aztec Connect,16,1.013881,0,1.013881,1.013881,6,1574.004495,132.8164962,1441.187999,1706.820991
2022/7/7,Aztec Connect,274,100.912335,0,100.912335,100.912335,14,12755.59342,1153.453784,11602.13964,13909.04721
2022/7/8,Aztec Connect,1201,269.0026788,0,269.0026788,269.0026788,137,241805.3089,61771.15439,180034.1545,303576.4633
2022/7/9,Aztec Connect,2213,383.8700772,0,383.8700772,383.8700772,319,312062.1046,92553.41113,219508.6935,404615.5158
2022/7/10,Aztec Connect,2124,327.1629587,0,327.1629587,327.1629587,229,225024.2269,84251.24336,140772.9835,309275.4702
2022/7/11,Aztec Connect,1404,241.6922787,0,241.6922787,241.6922787,156,159504.0298,68469.34167,91034.68813,227973.3715
2022/7/12,Aztec Connect,1400,206.071887,0,206.071887,206.071887,199,119384.6144,44326.32913,75058.28523,163710.9435
2022/7/13,Aztec Connect,1120,239.4175617,0,239.4175617,239.4175617,105,110462.3619,67339.43929,43122.92261,177801.8012
2022/7/14,Aztec Connect,1662,279.282478,0,279.282478,279.282478,179,163612.4424,127060.5675,36551.87492,290673.0099
2022/7/15,Aztec Connect,1363,261.4479544,0,261.4479544,261.4479544,125,169285.6506,47529.12318,121756.5274,216814.7738
2022/7/16,Aztec Connect,1592,271.781919,0,271.781919,271.781919,144,153002.9616,107620.7649,45382.19678,260623.7265
2022/7/17,Aztec Connect,1671,387.782215,0,387.782215,387.782215,128,203163.9991,120202.4168,82961.58235,323366.4159
2022/7/18,Aztec Connect,1109,309.8561348,0,309.8561348,309.8561348,92,190679.6107,111362.2621,79317.34861,302041.8729
2022/7/19,Aztec Connect,1427,334.596784,0,334.596784,334.596784,104,114768.1329,105986.5768,8781.556033,220754.7097
2022/7/20,Aztec Connect,1076,343.817645,0,343.817645,343.817645,79,208980.9886,157155.4982,51825.4904,366136.4867
2022/7/21,Aztec Connect,1294,331.2811874,0,331.2811874,331.2811874,122,137474.8289,105109.1053,32365.72353,242583.9342
2022/7/22,Aztec Connect,1344,329.9281409,0,329.9281409,329.9281409,80,170602.3915,67622.27526,102980.1162,238224.6667
2022/7/23,Aztec Connect,1917,499.9314856,0,499.9314856,499.9314856,131,122129.6898,112392.6569,9737.03293,234522.3467
2022/7/24,Aztec Connect,2171,505.2168043,0,505.2168043,505.2168043,160,184343.7288,90068.86497,94274.86378,274412.5937
2022/7/25,Aztec Connect,1773,591.9466509,0,591.9466509,591.9466509,159,190517.4257,156409.3652,34108.0605,346926.7908
2022/7/26,Aztec Connect,973,387.9200049,0,387.9200049,387.9200049,102,145999.5569,75223.50063,70776.05628,221223.0575
2022/7/27,Aztec Connect,1397,428.1975957,0,428.1975957,428.1975957,147,201266.0099,180570.4134,20695.59649,381836.4234
2022/7/28,Aztec Connect,1035,429.8600955,0,429.8600955,429.8600955,111,293255.9044,115292.7572,177963.1471,408548.6616
