day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2022/6/4,Messier 87 Black Hole,102,1.394,0.962053674,0.431946326,2.356053674,293,0,0,0,0
2022/6/5,Messier 87 Black Hole,149,0,3,-3,3,605,0,0,0,0
2022/6/6,Messier 87 Black Hole,35,0,0.52,-0.52,0.52,174,609.6424057,500.2536832,109.3887225,1109.896089
2022/6/7,Messier 87 Black Hole,43,0,0,0,0,175,0,0,0,0
2022/6/8,Messier 87 Black Hole,37,0,1,-1,1,180,0,0,0,0
2022/6/9,Messier 87 Black Hole,92,0,4.063023768,-4.063023768,4.063023768,393,0,0,0,0
2022/6/10,Messier 87 Black Hole,74,0,1.722,-1.722,1.722,496,0,0,0,0
2022/6/11,Messier 87 Black Hole,91,0,11.60443011,-11.60443011,11.60443011,495,0,0,0,0
2022/6/12,Messier 87 Black Hole,28,0,4.388,-4.388,4.388,315,0,0,0,0
2022/6/13,Messier 87 Black Hole,16,0,7.24,-7.24,7.24,159,0,0,0,0
2022/6/14,Messier 87 Black Hole,21,0,1,-1,1,138,0,0,0,0
2022/6/15,Messier 87 Black Hole,19,0,0,0,0,118,0,0,0,0
2022/6/16,Messier 87 Black Hole,5,0,2.404,-2.404,2.404,97,0,0,0,0
2022/6/17,Messier 87 Black Hole,28,0,3.489995417,-3.489995417,3.489995417,109,0,0,0,0
2022/6/18,Messier 87 Black Hole,66,0,2.53,-2.53,2.53,85,0,0,0,0
2022/6/19,Messier 87 Black Hole,10,0,0,0,0,58,0,0,0,0
2022/6/20,Messier 87 Black Hole,14,0,0.8,-0.8,0.8,71,895.9143883,999.8809306,-103.9665423,1895.795319
2022/6/21,Messier 87 Black Hole,19,0,2.3,-2.3,2.3,104,150.6819354,150.0270922,0.654843253,300.7090276
2022/6/22,Messier 87 Black Hole,15,0,14.86594195,-14.86594195,14.86594195,83,13961.27881,3352.273347,10609.00547,17313.55216
2022/6/23,Messier 87 Black Hole,14,0,0,0,0,67,0,0,0,0
2022/6/24,Messier 87 Black Hole,16,0,2,-2,2,91,0,0,0,0
2022/6/25,Messier 87 Black Hole,61,0,0,0,0,256,0,3100.940549,-3100.940549,3100.940549
2022/6/26,Messier 87 Black Hole,21,0,0,0,0,121,0,3000.705188,-3000.705188,3000.705188
2022/6/27,Messier 87 Black Hole,18,0,0,0,0,96,0,0,0,0
2022/6/28,Messier 87 Black Hole,33,0,0,0,0,231,0,0,0,0
2022/6/29,Messier 87 Black Hole,28,0,22.53456789,-22.53456789,22.53456789,177,13760.75663,12507.47422,1253.282414,26268.23085
2022/6/30,Messier 87 Black Hole,111,0,8.7,-8.7,8.7,516,4081.770388,4001.339806,80.43058231,8083.110193
2022/7/1,Messier 87 Black Hole,53,0,14.14028018,-14.14028018,14.14028018,316,0,3999.852069,-3999.852069,3999.852069
2022/7/2,Messier 87 Black Hole,39,2.149000379,3.2,-1.050999621,5.349000379,230,0,0,0,0
2022/7/3,Messier 87 Black Hole,39,0,9.25,-9.25,9.25,283,5303.226307,3001.481302,2301.745005,8304.707609
2022/7/4,Messier 87 Black Hole,38,0,4.1,-4.1,4.1,249,0,0,0,0
2022/7/5,Messier 87 Black Hole,73,0,3.5,-3.5,3.5,476,0,150.0381615,-150.0381615,150.0381615
2022/7/6,Messier 87 Black Hole,101,1.262536792,15.70454361,-14.44200682,16.9670804,538,0,0,0,0
2022/7/7,Messier 87 Black Hole,86,0,12.5,-12.5,12.5,422,0,2500.173134,-2500.173134,2500.173134
2022/7/8,Messier 87 Black Hole,85,2.313480753,40.94999263,-38.63651188,43.26347339,401,0,0,0,0
2022/7/9,Messier 87 Black Hole,49,0,0,0,0,205,0,0,0,0
2022/7/10,Messier 87 Black Hole,33,0,0.3,-0.3,0.3,174,0,0,0,0
2022/7/11,Messier 87 Black Hole,32,0,20.43092046,-20.43092046,20.43092046,150,0,1492.329404,-1492.329404,1492.329404
2022/7/12,Messier 87 Black Hole,26,0,6.4,-6.4,6.4,166,2390.727274,2301.663715,89.06355893,4692.390988
2022/7/13,Messier 87 Black Hole,27,0,6.55,-6.55,6.55,118,0,0,0,0
2022/7/14,Messier 87 Black Hole,28,0,3.5,-3.5,3.5,145,3767.105991,2600.83683,1166.269161,6367.942821
2022/7/15,Messier 87 Black Hole,25,0,3.3,-3.3,3.3,165,4057.758106,1200.174008,2857.584097,5257.932114
2022/7/16,Messier 87 Black Hole,32,0,0,0,0,168,0,4002.322125,-4002.322125,4002.322125
2022/7/17,Messier 87 Black Hole,27,0,0,0,0,174,0,0,0,0
2022/7/18,Messier 87 Black Hole,111,0,10.6,-10.6,10.6,153,4515.762611,4499.008797,16.75381387,9014.771408
2022/7/19,Messier 87 Black Hole,29,0.004010184,0,0.004010184,0.004010184,129,0,0,0,0
2022/7/20,Messier 87 Black Hole,21,0,0,0,0,132,0,0,0,0
2022/7/21,Messier 87 Black Hole,20,0,5.42,-5.42,5.42,113,7565.834346,0,7565.834346,7565.834346
2022/7/22,Messier 87 Black Hole,21,0,0,0,0,120,9.974349759,2010.876932,-2000.902583,2020.851282
2022/7/23,Messier 87 Black Hole,17,0,11,-11,11,83,9081.129255,4502.936,4578.193255,13584.06526
2022/7/24,Messier 87 Black Hole,30,0.214453153,2.75,-2.535546847,2.964453153,118,0,500.3424288,-500.3424288,500.3424288
2022/7/25,Messier 87 Black Hole,25,0,1.3,-1.3,1.3,167,0,4303.224806,-4303.224806,4303.224806
2022/7/26,Messier 87 Black Hole,27,0.05,3.92580373,-3.87580373,3.97580373,103,5137.665106,5581.942265,-444.2771591,10719.60737
2022/7/27,Messier 87 Black Hole,18,0,2.762347709,-2.762347709,2.762347709,103,4036.651976,0,4036.651976,4036.651976
2022/7/28,Messier 87 Black Hole,20,0,0,0,0,68,0,100.0252378,-100.0252378,100.0252378
2022/7/29,Messier 87 Black Hole,17,0,1.856925241,-1.856925241,1.856925241,80,3194.373693,2001.642861,1192.730831,5196.016554
2022/7/30,Messier 87 Black Hole,14,0,0,0,0,56,0,0,0,0
2022/7/31,Messier 87 Black Hole,21,0,0.25,-0.25,0.25,100,0,0,0,0
2022/8/1,Messier 87 Black Hole,18,0,3.696242767,-3.696242767,3.696242767,76,6087.286115,1501.791292,4585.494823,7589.077406
2022/8/2,Messier 87 Black Hole,11,0,0,0,0,74,0,0,0,0
2022/8/3,Messier 87 Black Hole,14,0,0,0,0,68,0,400.3070194,-400.3070194,400.3070194
2022/8/4,Messier 87 Black Hole,11,0,0.75,-0.75,0.75,63,0,0,0,0
2022/8/5,Messier 87 Black Hole,26,0,2.262210137,-2.262210137,2.262210137,77,3800.264375,2001.6525,1798.611875,5801.916875
2022/8/6,Messier 87 Black Hole,21,0,0,0,0,64,2001.529153,2001.529153,0,4003.058306
2022/8/7,Messier 87 Black Hole,7,0,1.407865623,-1.407865623,1.407865623,48,2374.81786,0,2374.81786,2374.81786
2022/8/8,Messier 87 Black Hole,43,0,5.774347864,-5.774347864,5.774347864,213,6903.749493,112.1485454,6791.600948,7015.898039
2022/8/9,Messier 87 Black Hole,27,0,1.7,-1.7,1.7,127,2868.310412,500.422,2367.888412,3368.732412
2022/8/10,Messier 87 Black Hole,23,0,4.12,-4.12,4.12,96,0,7005.36584,-7005.36584,7005.36584
2022/8/11,Messier 87 Black Hole,22,0,1.5,-1.5,1.5,92,2819.154148,6003.449667,-3184.295519,8822.603814
2022/8/12,Messier 87 Black Hole,44,0,0.5,-0.5,0.5,150,0,0,0,0
2022/8/13,Messier 87 Black Hole,43,0,0,0,0,182,0,0,0,0
2022/8/14,Messier 87 Black Hole,45,0,0,0,0,95,0,0,0,0
2022/8/15,Messier 87 Black Hole,39,0,10.8,-10.8,10.8,104,20573.85399,0,20573.85399,20573.85399
2022/8/16,Messier 87 Black Hole,20,0,0,0,0,79,0,0,0,0
2022/8/17,Messier 87 Black Hole,16,0,2.1,-2.1,2.1,78,3837.882307,0,3837.882307,3837.882307
2022/8/18,Messier 87 Black Hole,10,0,0,0,0,64,0,0,0,0
2022/8/19,Messier 87 Black Hole,16,0,2,-2,2,96,3466.217838,0,3466.217838,3466.217838
2022/8/20,Messier 87 Black Hole,11,0,0,0,0,43,0,2001.755569,-2001.755569,2001.755569
2022/8/21,Messier 87 Black Hole,16,0,2,-2,2,66,3182.408312,0,3182.408312,3182.408312
2022/8/22,Messier 87 Black Hole,11,0,2.8,-2.8,2.8,87,4460.855547,0,4460.855547,4460.855547
2022/8/23,Messier 87 Black Hole,21,0,0.27651909,-0.27651909,0.27651909,67,0,950.5964813,-950.5964813,950.5964813
2022/8/24,Messier 87 Black Hole,13,0,0,0,0,47,0,50.03535625,-50.03535625,50.03535625
2022/8/25,Messier 87 Black Hole,15,0,3,-3,3,68,4520.196052,470.21283,4049.983222,4990.408882
2022/8/26,Messier 87 Black Hole,21,0,11,-11,11,100,0,14016.34291,-14016.34291,14016.34291
2022/8/27,Messier 87 Black Hole,26,1.072694179,10.21336574,-9.140671563,11.28605992,69,20.00092382,10022.21541,-10002.21449,10042.21634
2022/8/28,Messier 87 Black Hole,13,0,0.31,-0.31,0.31,59,636.43778,2503.366533,-1866.928753,3139.804313
2022/8/29,Messier 87 Black Hole,14,0,0,0,0,45,0,6004.657896,-6004.657896,6004.657896
2022/8/30,Messier 87 Black Hole,7,0,0,0,0,47,0,0,0,0
2022/8/31,Messier 87 Black Hole,6,0,0,0,0,33,0,0,0,0
2022/9/1,Messier 87 Black Hole,9,0,0,0,0,46,0,1500.761521,-1500.761521,1500.761521
2022/9/2,Messier 87 Black Hole,2,0,0,0,0,23,0,0,0,0
2022/9/3,Messier 87 Black Hole,5,0,0,0,0,34,0,200.2294104,-200.2294104,200.2294104
2022/9/4,Messier 87 Black Hole,6,0,0,0,0,36,0,0,0,0
2022/9/5,Messier 87 Black Hole,4,0,4.7,-4.7,4.7,37,7408.372667,0,7408.372667,7408.372667
2022/9/6,Messier 87 Black Hole,10,0,2.2,-2.2,2.2,33,3661.278899,0,3661.278899,3661.278899
2022/9/7,Messier 87 Black Hole,6,0,0,0,0,27,0,1100.534279,-1100.534279,1100.534279
2022/9/8,Messier 87 Black Hole,17,0,0.8,-0.8,0.8,37,2990.986894,3303.475892,-312.4889987,6294.462786
2022/9/9,Messier 87 Black Hole,13,0,0.4,-0.4,0.4,50,0,949.7448689,-949.7448689,949.7448689
2022/9/10,Messier 87 Black Hole,12,0,2.6,-2.6,2.6,69,4488.85643,3900.221989,588.6344412,8389.078418
2022/9/11,Messier 87 Black Hole,16,0,2.3,-2.3,2.3,40,0,5998.759271,-5998.759271,5998.759271
2022/9/12,Messier 87 Black Hole,123,2.404599498,3.5,-1.095400502,5.904599498,134,0,23582.82087,-23582.82087,23582.82087
2022/9/13,Messier 87 Black Hole,22,0.297910196,8.8,-8.502089804,9.097910196,52,0,0,0,0
2022/9/14,Messier 87 Black Hole,8,0,0,0,0,41,0,0,0,0
2022/9/15,Messier 87 Black Hole,4,0,0,0,0,46,0,0,0,0
2022/9/16,Messier 87 Black Hole,6,0,2.8,-2.8,2.8,57,0,0,0,0
2022/9/17,Messier 87 Black Hole,9,0,0,0,0,37,0,0,0,0
2022/9/18,Messier 87 Black Hole,7,0,0.21,-0.21,0.21,30,0,145.9411351,-145.9411351,145.9411351
2022/9/19,Messier 87 Black Hole,8,0,0,0,0,26,0,0,0,0
2022/9/20,Messier 87 Black Hole,4,3.782817794,0,3.782817794,3.782817794,29,0,0,0,0
2022/9/21,Messier 87 Black Hole,9,0,0,0,0,47,0,0,0,0
2022/9/22,Messier 87 Black Hole,27,7.37034,15.92967525,-8.559335249,23.30001525,56,20266.78704,20257.20492,9.582121093,40523.99196
2022/9/23,Messier 87 Black Hole,5,0,0,0,0,32,0,0,0,0
2022/9/24,Messier 87 Black Hole,3,0,0,0,0,25,0,0,0,0
2022/9/25,Messier 87 Black Hole,8,0,0,0,0,22,0,0,0,0
2022/9/26,Messier 87 Black Hole,10,0,0,0,0,35,0,0,0,0
2022/9/27,Messier 87 Black Hole,13,0,0,0,0,68,0,0,0,0
2022/9/28,Messier 87 Black Hole,9,0,0,0,0,41,0,0,0,0
2022/9/29,Messier 87 Black Hole,9,0,0,0,0,46,0,0,0,0
2022/9/30,Messier 87 Black Hole,7,0,2,-2,2,40,0,0,0,0
2022/10/1,Messier 87 Black Hole,6,0,0,0,0,22,0,0,0,0
2022/10/2,Messier 87 Black Hole,8,0,0,0,0,32,0,0,0,0
2022/10/3,Messier 87 Black Hole,9,0,0,0,0,26,0,0,0,0
2022/10/4,Messier 87 Black Hole,14,9.1421905,0.5,8.6421905,9.6421905,62,0,0,0,0
2022/10/5,Messier 87 Black Hole,11,0,0.3,-0.3,0.3,37,0,0,0,0
2022/10/6,Messier 87 Black Hole,11,0,0.737,-0.737,0.737,48,0,0,0,0
2022/10/7,Messier 87 Black Hole,12,0,5.11,-5.11,5.11,74,0,0,0,0
2022/10/8,Messier 87 Black Hole,22,0,0,0,0,65,0,0,0,0
2022/10/9,Messier 87 Black Hole,4,0,0,0,0,37,0,0,0,0
2022/10/10,Messier 87 Black Hole,11,0,0,0,0,32,0,0,0,0
2022/10/11,Messier 87 Black Hole,9,0,0,0,0,37,0,0,0,0
2022/10/12,Messier 87 Black Hole,2,0,0,0,0,28,0,0,0,0
2022/10/13,Messier 87 Black Hole,11,0,0,0,0,43,0,0,0,0
2022/10/14,Messier 87 Black Hole,12,0,0,0,0,41,0,0,0,0
2022/10/15,Messier 87 Black Hole,10,0,0.145,-0.145,0.145,30,0,0,0,0
2022/10/16,Messier 87 Black Hole,7,0,0,0,0,35,0,0,0,0
2022/10/17,Messier 87 Black Hole,8,0,0.35,-0.35,0.35,74,0,0,0,0
2022/10/18,Messier 87 Black Hole,20,0,0,0,0,67,0,0,0,0
2022/10/19,Messier 87 Black Hole,3,0,0,0,0,28,0,0,0,0
2022/10/20,Messier 87 Black Hole,14,0,0,0,0,30,0,0,0,0
2022/10/21,Messier 87 Black Hole,4,0,0,0,0,28,0,0,0,0
2022/10/22,Messier 87 Black Hole,5,0,0,0,0,41,0,0,0,0
2022/10/23,Messier 87 Black Hole,10,0,0,0,0,31,0,0,0,0
2022/10/24,Messier 87 Black Hole,8,0,0,0,0,55,0,0,0,0
2022/10/25,Messier 87 Black Hole,7,0,0,0,0,31,0,0,0,0
2022/10/26,Messier 87 Black Hole,8,0,12.95393836,-12.95393836,12.95393836,41,19998.76958,19998.76958,0,39997.53917
2022/10/27,Messier 87 Black Hole,4,0,0,0,0,57,0,0,0,0
2022/10/28,Messier 87 Black Hole,9,0,18.37,-18.37,18.37,71,25014.79245,0,25014.79245,25014.79245
2022/10/29,Messier 87 Black Hole,8,0,0,0,0,58,0,0,0,0
2022/10/30,Messier 87 Black Hole,39,0,1.505128246,-1.505128246,1.505128246,59,2300.141498,25001.53802,-22701.39652,27301.67952
2022/10/31,Messier 87 Black Hole,45,0,0.815948261,-0.815948261,0.815948261,87,500.0713906,2800.399787,-2300.328397,3300.471178
2022/11/1,Messier 87 Black Hole,30,0,2.559169788,-2.559169788,2.559169788,60,2300.041759,2300.041759,0,4600.083519
2022/11/2,Messier 87 Black Hole,13,0,0,0,0,41,0,0,0,0
2022/11/3,Messier 87 Black Hole,13,0,0,0,0,32,0,0,0,0
2022/11/4,Messier 87 Black Hole,6,0,0,0,0,21,0,0,0,0
2022/11/5,Messier 87 Black Hole,7,0,2.152,-2.152,2.152,32,0,0,0,0
2022/11/6,Messier 87 Black Hole,12,0,0,0,0,30,0,0,0,0
2022/11/7,Messier 87 Black Hole,13,0.301792316,0.61,-0.308207684,0.911792316,30,349.785976,349.785976,0,699.571952
2022/11/8,Messier 87 Black Hole,14,0,1.114,-1.114,1.114,47,0,17.84987844,-17.84987844,17.84987844
2022/11/9,Messier 87 Black Hole,29,0,3,-3,3,85,0,0,0,0
2022/11/10,Messier 87 Black Hole,24,0.089303218,0.107474988,-0.01817177,0.196778206,71,0,0,0,0
2022/11/11,Messier 87 Black Hole,3,0,0,0,0,18,0,0,0,0
2022/11/12,Messier 87 Black Hole,11,0,0,0,0,23,0,0,0,0
2022/11/13,Messier 87 Black Hole,31,0,0,0,0,33,0,0,0,0
2022/11/14,Messier 87 Black Hole,14,0,1.296019553,-1.296019553,1.296019553,25,1252.643963,1252.643963,0,2505.287925
2022/11/15,Messier 87 Black Hole,5,0,0,0,0,13,0,0,0,0
2022/11/16,Messier 87 Black Hole,18,0,0.624474237,-0.624474237,0.624474237,23,749.7546139,700.3809142,49.37369966,1450.135528
2022/11/17,Messier 87 Black Hole,13,0,0.35,-0.35,0.35,19,236.2600344,200.1411156,36.11891873,436.40115
2022/11/18,Messier 87 Black Hole,10,0,0,0,0,28,0.004158696,0,0.004158696,0.004158696
2022/11/19,Messier 87 Black Hole,2,0,0,0,0,10,0,0,0,0
2022/11/20,Messier 87 Black Hole,5,0,2.213460139,-2.213460139,2.213460139,33,2503.427595,2503.427595,0,5006.855191
2022/11/21,Messier 87 Black Hole,10,0,0,0,0,37,0,0,0,0
2022/11/22,Messier 87 Black Hole,3,0,0,0,0,17,0,0,0,0
2022/11/23,Messier 87 Black Hole,1,0,0,0,0,16,0,0,0,0
2022/11/24,Messier 87 Black Hole,6,0,0,0,0,28,0,0,0,0
2022/11/25,Messier 87 Black Hole,2,0,0.25,-0.25,0.25,12,0,0,0,0
2022/11/26,Messier 87 Black Hole,6,0,0,0,0,25,0,1.000962497,-1.000962497,1.000962497
2022/11/27,Messier 87 Black Hole,2,0,0,0,0,10,0,0,0,0
2022/11/28,Messier 87 Black Hole,5,0,0,0,0,19,0,0,0,0
2022/11/29,Messier 87 Black Hole,9,0,1.7,-1.7,1.7,45,1214.496176,1000.767241,213.728935,2215.263418
2022/11/30,Messier 87 Black Hole,7,0,0.2,-0.2,0.2,31,0,0,0,0
2022/12/1,Messier 87 Black Hole,9,0,3.704104442,-3.704104442,3.704104442,24,2201.445614,1901.248485,300.1971292,4102.694099
2022/12/2,Messier 87 Black Hole,1,0,0,0,0,14,0,0,0,0
2022/12/3,Messier 87 Black Hole,1,0,0,0,0,8,0,0,0,0
2022/12/4,Messier 87 Black Hole,3,0,0,0,0,22,0,0,0,0
2022/12/5,Messier 87 Black Hole,10,0,1.8,-1.8,1.8,42,2265.549613,2502.367179,-236.8175657,4767.916792
2022/12/6,Messier 87 Black Hole,5,0,0,0,0,37,0,0,0,0
2022/12/7,Messier 87 Black Hole,12,0,0,0,0,57,0,0,0,0
2022/12/8,Messier 87 Black Hole,5,0,0,0,0,16,0,0,0,0
2022/12/9,Messier 87 Black Hole,13,0,0,0,0,74,0,0,0,0
2022/12/10,Messier 87 Black Hole,6,0,0,0,0,28,0,0,0,0
2022/12/11,Messier 87 Black Hole,1,0,0,0,0,11,0,0,0,0
2022/12/12,Messier 87 Black Hole,8,0,0.66814893,-0.66814893,0.66814893,35,800.6770139,1000.846267,-200.1692535,1801.523281
2022/12/13,Messier 87 Black Hole,2,0,0,0,0,24,0,0,0,0
2022/12/14,Messier 87 Black Hole,7,0,3.15,-3.15,3.15,17,0,0,0,0
2022/12/15,Messier 87 Black Hole,1,0,0,0,0,12,0,0,0,0
