day,erc20_tx_count,eth_tx_count
2020/4/18,0,106
2020/4/19,0,118
2020/4/20,0,517
2020/4/21,0,979
2020/4/22,0,984
2020/4/23,0,1055
2020/4/24,0,912
2020/4/25,0,750
2020/4/26,0,348
2020/4/27,0,607
2020/4/28,0,658
2020/4/29,0,357
2020/4/30,0,44
2020/5/1,0,24
2020/5/2,0,183
2020/5/3,0,441
2020/5/4,0,33
2020/5/5,0,45
2020/5/6,0,33
2020/5/7,0,0
2020/5/8,0,2
2020/5/9,0,2
2020/5/10,0,33
2020/5/11,0,3
2020/5/12,0,1
2020/5/13,0,0
2020/5/14,0,2
2020/5/15,0,1
2020/5/16,0,70
2020/5/17,0,65
2020/5/18,0,186
2020/5/19,0,510
2020/5/20,0,412
2020/5/21,0,183
2020/5/22,0,628
2020/5/23,0,2560
2020/5/24,0,2185
2020/5/25,0,785
2020/5/26,0,229
2020/5/27,0,73
2020/5/28,0,278
2020/5/29,0,527
2020/5/30,0,757
2020/5/31,0,1153
2020/6/1,0,532
2020/6/2,0,133
2020/6/3,0,1197
2020/6/4,0,770
2020/6/5,0,279
2020/6/6,0,1568
2020/6/7,0,1957
2020/6/8,0,1437
2020/6/9,0,1006
2020/6/10,0,581
2020/6/11,0,396
2020/6/12,0,336
2020/6/13,0,505
2020/6/14,0,786
2020/6/15,0,208
2020/6/16,0,74
2020/6/17,7,240
2020/6/18,56,418
2020/6/19,80,321
2020/6/20,39,443
2020/6/21,28,404
2020/6/22,19,262
2020/6/23,2,153
2020/6/24,3,154
2020/6/25,2,204
2020/6/26,1,197
2020/6/27,3,203
2020/6/28,4,202
2020/6/29,2,71
2020/6/30,1,31
2020/7/1,7,81
2020/7/2,2,38
2020/7/3,0,25
2020/7/4,0,21
2020/7/5,0,23
2020/7/6,0,26
2020/7/7,1,26
2020/7/8,0,26
2020/7/9,1,28
2020/7/10,2,72
2020/7/11,1,62
2020/7/12,2,77
2020/7/13,3,39
2020/7/14,2,62
2020/7/15,0,29
2020/7/16,0,25
2020/7/17,1,64
2020/7/18,0,27
2020/7/19,0,132
2020/7/20,0,64
2020/7/21,0,184
2020/7/22,8,250
2020/7/23,0,249
2020/7/24,1,168
2020/7/25,1,97
2020/7/26,1,98
2020/7/27,1,40
2020/7/28,5,193
2020/7/29,2,155
2020/7/30,1,151
2020/7/31,2,181
2020/8/1,2,117
2020/8/2,0,59
2020/8/3,1,57
2020/8/4,0,37
2020/8/5,5,34
2020/8/6,1,49
2020/8/7,0,34
2020/8/8,3,40
2020/8/9,1,9
2020/8/10,0,25
2020/8/11,0,35
2020/8/12,4,45
2020/8/13,1,77
2020/8/14,2,28
2020/8/15,1,12
2020/8/16,1,6
2020/8/17,0,4
2020/8/18,0,12
2020/8/19,0,6
2020/8/20,0,6
2020/8/21,0,8
2020/8/22,1,10
2020/8/23,0,26
2020/8/24,2,12
2020/8/25,2,9
2020/8/26,0,2
2020/8/27,1,2
2020/8/28,0,7
2020/8/29,2,6
2020/8/30,0,4
2020/8/31,0,10
2020/9/1,0,2
2020/9/2,0,7
2020/9/3,0,4
2020/9/4,0,11
2020/9/5,1,5
2020/9/6,2,45
2020/9/7,0,345
2020/9/8,4,412
2020/9/9,5,196
2020/9/10,1,222
2020/9/11,8,509
2020/9/12,1,270
2020/9/13,15,691
2020/9/14,14,701
2020/9/15,15,361
2020/9/16,33,591
2020/9/17,6,325
2020/9/18,17,37
2020/9/19,34,77
2020/9/20,44,92
2020/9/21,25,76
2020/9/22,20,563
2020/9/23,22,39
2020/9/24,54,151
2020/9/25,22,103
2020/9/26,31,150
2020/9/27,30,94
2020/9/28,34,89
2020/9/29,26,61
2020/9/30,44,122
2020/10/1,63,247
2020/10/2,123,260
2020/10/3,40,138
2020/10/4,11,132
2020/10/5,13,93
2020/10/6,11,94
2020/10/7,13,118
2020/10/8,11,78
2020/10/9,14,32
2020/10/10,9,32
2020/10/11,3,47
2020/10/12,7,27
2020/10/13,6,20
2020/10/14,5,18
2020/10/15,4,14
2020/10/16,7,15
2020/10/17,9,55
2020/10/18,7,76
2020/10/19,4,37
2020/10/20,1,72
2020/10/21,2,47
2020/10/22,10,22
2020/10/23,7,23
2020/10/24,3,82
2020/10/25,5,87
2020/10/26,3,14
2020/10/27,7,53
2020/10/28,3,61
2020/10/29,8,26
2020/10/30,4,69
2020/10/31,24,116
2020/11/1,42,457
2020/11/2,27,114
2020/11/3,34,116
2020/11/4,42,220
2020/11/5,19,109
2020/11/6,6,21
2020/11/7,3,30
2020/11/8,19,70
2020/11/9,12,65
2020/11/10,8,27
2020/11/11,11,18
2020/11/12,11,58
2020/11/13,11,39
2020/11/14,20,100
2020/11/15,21,80
2020/11/16,6,30
2020/11/17,8,31
2020/11/18,4,9
2020/11/19,8,25
2020/11/20,9,24
2020/11/21,6,23
2020/11/22,1,14
2020/11/23,3,20
2020/11/24,0,20
2020/11/25,2,25
2020/11/26,3,28
2020/11/27,1,20
2020/11/28,2,14
2020/11/29,1,32
2020/11/30,0,5
2020/12/1,4,24
2020/12/2,33,50
2020/12/3,44,81
2020/12/4,51,72
2020/12/5,58,85
2020/12/6,31,75
2020/12/7,37,69
2020/12/8,38,66
2020/12/9,25,52
2020/12/10,33,58
2020/12/11,37,54
2020/12/12,20,69
2020/12/13,44,90
2020/12/14,90,249
2020/12/15,77,604
2020/12/16,95,257
2020/12/17,86,355
2020/12/18,43,243
2020/12/19,15,141
2020/12/20,12,304
2020/12/21,12,405
2020/12/22,5,132
2020/12/23,26,400
2020/12/24,27,541
2020/12/25,6,536
2020/12/26,2,566
2020/12/27,7,487
2020/12/28,2,537
2020/12/29,9,259
2020/12/30,25,176
2020/12/31,45,320
2021/1/1,17,1052
2021/1/2,7,445
2021/1/3,2,583
2021/1/4,2,912
2021/1/5,8,550
2021/1/6,1,833
2021/1/7,8,748
2021/1/8,2,373
2021/1/9,8,731
2021/1/10,3,1001
2021/1/11,1,534
2021/1/12,6,523
2021/1/13,6,808
2021/1/14,0,828
2021/1/15,3,481
2021/1/16,0,101
2021/1/17,3,104
2021/1/18,2,541
2021/1/19,0,109
2021/1/20,2,93
2021/1/21,14,62
2021/1/22,3,48
2021/1/23,19,72
2021/1/24,11,63
2021/1/25,5,561
2021/1/26,20,139
2021/1/27,7,70
2021/1/28,9,71
2021/1/29,2,30
2021/1/30,1,42
2021/1/31,3,33
2021/2/1,1,29
2021/2/2,2,499
2021/2/3,5,53
2021/2/4,1,32
2021/2/5,2,26
2021/2/6,6,39
2021/2/7,4,40
2021/2/8,0,506
2021/2/9,0,50
2021/2/10,3,32
2021/2/11,2,45
2021/2/12,7,42
2021/2/13,10,73
2021/2/14,4,120
2021/2/15,2,64
2021/2/16,7,58
2021/2/17,11,42
2021/2/18,7,39
2021/2/19,4,36
2021/2/20,5,31
2021/2/21,7,100
2021/2/22,2,33
2021/2/23,0,25
2021/2/24,6,56
2021/2/25,15,73
2021/2/26,10,77
2021/2/27,17,82
2021/2/28,14,210
2021/3/1,27,238
2021/3/2,235,1317
2021/3/3,135,803
2021/3/4,87,502
2021/3/5,73,495
2021/3/6,72,707
2021/3/7,33,397
2021/3/8,41,300
2021/3/9,39,378
2021/3/10,260,787
2021/3/11,303,897
2021/3/12,174,680
2021/3/13,146,739
2021/3/14,143,590
2021/3/15,138,395
2021/3/16,121,368
2021/3/17,85,544
2021/3/18,112,535
2021/3/19,112,413
2021/3/20,165,1172
2021/3/21,171,802
2021/3/22,100,496
2021/3/23,179,740
2021/3/24,201,897
2021/3/25,269,905
2021/3/26,81,190
2021/3/27,44,149
2021/3/28,19,147
2021/3/29,27,96
2021/3/30,19,99
2021/3/31,11,72
2021/4/1,13,89
2021/4/2,23,98
2021/4/3,29,153
2021/4/4,27,132
2021/4/5,18,113
2021/4/6,29,174
2021/4/7,7,160
2021/4/8,29,143
2021/4/9,18,118
2021/4/10,21,114
2021/4/11,8,157
2021/4/12,13,139
2021/4/13,17,123
2021/4/14,9,157
2021/4/15,20,234
2021/4/16,5,280
2021/4/17,6,169
2021/4/18,6,85
2021/4/19,3,73
2021/4/20,9,40
2021/4/21,10,103
2021/4/22,10,235
2021/4/23,22,219
2021/4/24,28,333
2021/4/25,40,648
2021/4/26,25,286
2021/4/27,34,1168
2021/4/28,23,756
2021/4/29,18,371
2021/4/30,27,309
2021/5/1,18,264
2021/5/2,24,227
2021/5/3,19,280
2021/5/4,28,96
2021/5/5,24,137
2021/5/6,19,137
2021/5/7,21,108
2021/5/8,7,86
2021/5/9,8,58
2021/5/10,8,39
2021/5/11,0,35
2021/5/12,3,27
2021/5/13,22,95
2021/5/14,12,156
2021/5/15,16,159
2021/5/16,14,162
2021/5/17,11,50
2021/5/18,4,63
2021/5/19,7,30
2021/5/20,3,40
2021/5/21,25,259
2021/5/22,15,115
2021/5/23,5,71
2021/5/24,14,114
2021/5/25,15,158
2021/5/26,56,320
2021/5/27,65,319
2021/5/28,57,304
2021/5/29,60,442
2021/5/30,51,504
2021/5/31,39,330
2021/6/1,76,480
2021/6/2,34,282
2021/6/3,155,332
2021/6/4,95,913
2021/6/5,127,1004
2021/6/6,97,361
2021/6/7,131,355
2021/6/8,42,193
2021/6/9,288,507
2021/6/10,290,511
2021/6/11,114,289
2021/6/12,130,350
2021/6/13,138,603
2021/6/14,93,640
2021/6/15,102,464
2021/6/16,254,1613
2021/6/17,415,1320
2021/6/18,300,932
2021/6/19,231,996
2021/6/20,254,933
2021/6/21,98,413
2021/6/22,72,262
2021/6/23,197,617
2021/6/24,184,575
2021/6/25,138,420
2021/6/26,232,616
2021/6/27,297,992
2021/6/28,183,503
2021/6/29,315,1049
2021/6/30,443,1199
2021/7/1,587,1389
2021/7/2,141,245
2021/7/3,119,723
2021/7/4,37,711
2021/7/5,36,355
2021/7/6,222,241
2021/7/7,145,327
2021/7/8,109,332
2021/7/9,67,259
2021/7/10,66,1349
2021/7/11,131,632
2021/7/12,60,281
2021/7/13,42,213
2021/7/14,37,193
2021/7/15,77,170
2021/7/16,54,147
2021/7/17,87,316
2021/7/18,110,538
2021/7/19,69,866
2021/7/20,42,252
2021/7/21,52,190
2021/7/22,29,223
2021/7/23,47,359
2021/7/24,43,246
2021/7/25,47,255
2021/7/26,28,189
2021/7/27,22,180
2021/7/28,13,186
2021/7/29,39,237
2021/7/30,26,220
2021/7/31,40,521
2021/8/1,47,415
2021/8/2,22,142
2021/8/3,29,151
2021/8/4,52,250
2021/8/5,31,219
2021/8/6,31,355
2021/8/7,21,324
2021/8/8,51,585
2021/8/9,28,379
2021/8/10,42,337
2021/8/11,14,322
2021/8/12,35,354
2021/8/13,39,904
2021/8/14,13,272
2021/8/15,39,526
2021/8/16,34,246
2021/8/17,25,254
2021/8/18,35,670
2021/8/19,124,806
2021/8/20,35,362
2021/8/21,41,306
2021/8/22,57,625
2021/8/23,18,269
2021/8/24,20,203
2021/8/25,17,121
2021/8/26,20,156
2021/8/27,25,181
2021/8/28,33,360
2021/8/29,27,688
2021/8/30,55,243
