day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2021/7/1,Railgun,0,0,0,0,0,0,0,0,0,0
2021/7/2,Railgun,0,0,0,0,0,0,0,0,0,0
2021/7/3,Railgun,438,0.667821695,0,0.667821695,0.667821695,44,0,0,0,0
2021/7/4,Railgun,453,0,0,0,0,0,0,0,0,0
2021/7/5,Railgun,158,0,0,0,0,0,0,0,0,0
2021/7/6,Railgun,108,0.5,0.02,0.48,0.52,183,0,0,0,0
2021/7/7,Railgun,247,0,0,0,0,98,0,0,0,0
2021/7/8,Railgun,195,0,0,0,0,73,0,0,0,0
2021/7/9,Railgun,94,0,0,0,0,36,0,0,0,0
2021/7/10,Railgun,52,0,0,0,0,17,0,0,0,0
2021/7/11,Railgun,102,0,0,0,0,41,0,0,0,0
2021/7/12,Railgun,31,0,0,0,0,11,0,0,0,0
2021/7/13,Railgun,33,0,0,0,0,4,0,0,0,0
2021/7/14,Railgun,45,0,0,0,0,12,0,0,0,0
2021/7/15,Railgun,24,0,0,0,0,1,0,0,0,0
2021/7/16,Railgun,39,0,0,0,0,8,0,0,0,0
2021/7/17,Railgun,66,0,0,0,0,20,0,0,0,0
2021/7/18,Railgun,105,0,0,0,0,37,0,0,0,0
2021/7/19,Railgun,59,0,0,0,0,17,0,0,0,0
2021/7/20,Railgun,45,0,0,0,0,17,0,0,0,0
2021/7/21,Railgun,23,0,0,0,0,6,0,0,0,0
2021/7/22,Railgun,17,0,0,0,0,6,0,0,0,0
2021/7/23,Railgun,23,0,0,0,0,5,0,0,0,0
2021/7/24,Railgun,47,0,0,0,0,8,0,0,0,0
2021/7/25,Railgun,44,0,0,0,0,8,0,0,0,0
2021/7/26,Railgun,69,0,0,0,0,11,0,0,0,0
2021/7/27,Railgun,31,0,0,0,0,7,0,0,0,0
2021/7/28,Railgun,29,0,0,0,0,4,0,0,0,0
2021/7/29,Railgun,39,0,0,0,0,9,0,0,0,0
2021/7/30,Railgun,13,0,0,0,0,5,0,0,0,0
2021/7/31,Railgun,103,0,0,0,0,21,0,0,0,0
2021/8/1,Railgun,113,0,0,0,0,27,0,0,0,0
2021/8/2,Railgun,37,0,0,0,0,7,0,0,0,0
2021/8/3,Railgun,54,0,0,0,0,8,0,0,0,0
2021/8/4,Railgun,34,0,0,0,0,12,0,0,0,0
2021/8/5,Railgun,32,0.931457,0,0.931457,0.931457,3,0,0,0,0
2021/8/6,Railgun,46,0,0,0,0,11,0,0,0,0
2021/8/7,Railgun,29,0,0,0,0,3,0,0,0,0
2021/8/8,Railgun,32,0,0,0,0,5,0,0,0,0
2021/8/9,Railgun,27,0,0,0,0,2,0,0,0,0
2021/8/10,Railgun,21,0,0,0,0,5,0,0,0,0
2021/8/11,Railgun,44,0,0,0,0,4,0,0,0,0
2021/8/12,Railgun,28,0,0,0,0,7,0,0,0,0
2021/8/13,Railgun,17,0,0,0,0,6,0,0,0,0
2021/8/14,Railgun,17,0,0,0,0,3,0,0,0,0
2021/8/15,Railgun,19,0,0,0,0,7,0,0,0,0
2021/8/16,Railgun,36,0,0,0,0,14,0,0,0,0
2021/8/17,Railgun,31,0,0,0,0,10,0,0,0,0
2021/8/18,Railgun,64,0,0,0,0,17,0,0,0,0
2021/8/19,Railgun,118,0,0,0,0,48,0,0,0,0
2021/8/20,Railgun,57,0,0,0,0,14,0,0,0,0
2021/8/21,Railgun,24,0,0,0,0,7,0,0,0,0
2021/8/22,Railgun,11,0,0,0,0,4,0,0,0,0
2021/8/23,Railgun,27,0,0,0,0,7,0,0,0,0
2021/8/24,Railgun,30,0,0,0,0,12,0,0,0,0
2021/8/25,Railgun,27,0,0,0,0,9,0,0,0,0
2021/8/26,Railgun,19,0,0,0,0,6,0,0,0,0
2021/8/27,Railgun,19,0,0,0,0,7,0,0,0,0
2021/8/28,Railgun,30,0,0,0,0,15,0,0,0,0
2021/8/29,Railgun,30,0,0,0,0,12,0,0,0,0
2021/8/30,Railgun,103,0,0,0,0,50,0,0,0,0
2021/8/31,Railgun,65,0,0,0,0,31,0,0,0,0
2021/9/1,Railgun,21,0,0,0,0,11,0,0,0,0
2021/9/2,Railgun,19,0,0,0,0,6,0,0,0,0
2021/9/3,Railgun,12,0,0,0,0,2,0,0,0,0
2021/9/4,Railgun,14,0,0,0,0,3,0,0,0,0
2021/9/5,Railgun,12,0,0,0,0,2,0,0,0,0
2021/9/6,Railgun,12,0,0,0,0,2,0,0,0,0
2021/9/7,Railgun,18,0,0,0,0,8,0,0,0,0
2021/9/8,Railgun,20,0,0,0,0,7,0,0,0,0
2021/9/9,Railgun,10,0,0,0,0,5,0,0,0,0
2021/9/10,Railgun,15,0,0,0,0,3,0,0,0,0
2021/9/11,Railgun,23,0,0,0,0,10,0,0,0,0
2021/9/12,Railgun,27,0,0,0,0,9,0,0,0,0
2021/9/13,Railgun,22,0,0,0,0,5,0,0,0,0
2021/9/14,Railgun,58,0,0,0,0,20,0,0,0,0
2021/9/15,Railgun,37,0,0,0,0,18,0,0,0,0
2021/9/16,Railgun,22,0,0,0,0,7,0,0,0,0
2021/9/17,Railgun,25,0,0,0,0,7,0,0,0,0
2021/9/18,Railgun,19,0,0,0,0,6,0,0,0,0
2021/9/19,Railgun,10,0,0,0,0,2,0,0,0,0
2021/9/20,Railgun,26,0,0,0,0,8,0,0,0,0
2021/9/21,Railgun,26,0,0,0,0,9,0,0,0,0
2021/9/22,Railgun,12,0,0,0,0,5,0,0,0,0
2021/9/23,Railgun,14,0,0,0,0,5,0,0,0,0
2021/9/24,Railgun,23,0,0,0,0,8,0,0,0,0
2021/9/25,Railgun,24,0,0,0,0,10,0,0,0,0
2021/9/26,Railgun,18,0,0,0,0,3,0,0,0,0
