day,mixer_name,eth_tx_count,eth_in_eth,eth_out_eth,eth_net_eth,eth_total_eth,erc20_tx_count,erc20_in_usd,erc20_out_usd,erc20_net_usd,erc20_total_usd
2020/6/15,zkSync,40,1.714,0,1.714,1.714,0,0,0,0,0
2020/6/16,zkSync,4,0.01,0,0.01,0.01,0,0,0,0,0
2020/6/17,zkSync,159,0.81554966,0,0.81554966,0.81554966,7,28.43533465,5.689433701,22.74590095,34.12476835
2020/6/18,zkSync,303,3.079504609,0,3.079504609,3.079504609,56,1163.007862,1.291182778,1161.716679,1164.299044
2020/6/19,zkSync,226,1.668497229,0,1.668497229,1.668497229,80,99.84564128,846.1849449,-746.3393037,946.0305862
2020/6/20,zkSync,147,0.06,0,0.06,0.06,39,12.35719722,1.57939927,10.77779795,13.93659649
2020/6/21,zkSync,118,0.12,0,0.12,0.12,28,25.32027561,0.151921654,25.16835395,25.47219726
2020/6/22,zkSync,126,0.25341,0,0.25341,0.25341,19,304.0739936,191.9133729,112.1606208,495.9873665
2020/6/23,zkSync,76,0.14,0,0.14,0.14,2,10.16576432,0,10.16576432,10.16576432
2020/6/24,zkSync,34,0.1,0,0.1,0.1,3,50.11245712,49.29348928,0.818967842,99.40594639
2020/6/25,zkSync,59,0.209,0,0.209,0.209,2,9.133791281,9.36518066,-0.231389379,18.49897194
2020/6/26,zkSync,42,0.2,0,0.2,0.2,1,0,0,0,0
2020/6/27,zkSync,50,0,0,0,0,3,212.2172814,1.212670179,211.0046112,213.4299515
2020/6/28,zkSync,64,0.3,0,0.3,0.3,4,15.25458266,4.067888708,11.18669395,19.32247136
2020/6/29,zkSync,32,0,0,0,0,2,25.13825102,0,25.13825102,25.13825102
2020/6/30,zkSync,31,0,0,0,0,1,0.257658757,0,0.257658757,0.257658757
2020/7/1,zkSync,72,20.022,0,20.022,20.022,7,1673.575472,1570.748442,102.8270302,3244.323914
2020/7/2,zkSync,32,0.01,0,0.01,0.01,2,6.079041625,0,6.079041625,6.079041625
2020/7/3,zkSync,12,0,0,0,0,0,0,0,0,0
2020/7/4,zkSync,7,0.1,0,0.1,0.1,0,0,0,0,0
2020/7/5,zkSync,22,0.05,0,0.05,0.05,0,0,0,0,0
2020/7/6,zkSync,22,0.01,0,0.01,0.01,0,0,0,0,0
2020/7/7,zkSync,23,0.01,0,0.01,0.01,1,1.011875899,0,1.011875899,1.011875899
2020/7/8,zkSync,25,0.01,0,0.01,0.01,0,0,0,0,0
2020/7/9,zkSync,20,0.01,0,0.01,0.01,1,2.03778434,0,2.03778434,2.03778434
2020/7/10,zkSync,52,0.505,0,0.505,0.505,2,104.9622759,0,104.9622759,104.9622759
2020/7/11,zkSync,43,0,0,0,0,1,20.08542729,0,20.08542729,20.08542729
2020/7/12,zkSync,31,0,0,0,0,2,5.113829566,4.489819627,0.624009939,9.603649193
2020/7/13,zkSync,27,1,0,1,1,3,14.13838829,108.7304392,-94.59205092,122.8688275
2020/7/14,zkSync,44,0,0,0,0,2,8.082631568,0,8.082631568,8.082631568
2020/7/15,zkSync,9,0,0,0,0,0,0,0,0,0
2020/7/16,zkSync,15,0,0,0,0,0,0,0,0,0
2020/7/17,zkSync,10,0.05,0,0.05,0.05,1,0,2.495321834,-2.495321834,2.495321834
2020/7/18,zkSync,7,0.1,0,0.1,0.1,0,0,0,0,0
2020/7/19,zkSync,15,0,0,0,0,0,0,0,0,0
2020/7/20,zkSync,15,0,0,0,0,0,0,0,0,0
2020/7/21,zkSync,18,0,0,0,0,0,0,0,0,0
2020/7/22,zkSync,67,0.3,0,0.3,0.3,8,53.55466595,0.886075207,52.66859075,54.44074116
2020/7/23,zkSync,85,0.131,0,0.131,0.131,0,0,0,0,0
2020/7/24,zkSync,66,0.12,0,0.12,0.12,1,25.59997917,0,25.59997917,25.59997917
